coroner_name,count
Mr Peter Brunton,1
Mr Richard G Taylor,1
Mr Sebastian Hugh Joseph Naughton,1
Mrs LOUISA ALICE ELIZABETH JONES CORCORAN,1
Mr Tony Badenoch,1
Mrs Julie Mitchell,1
Mr DAVID MORRIS,1
Mr D T Bowen,1
Laura Wendy Johnson,1
Miss Louise Pinder,1
Martin Gotheridge,1
Michael Kendall,1
Michael Snell,1
Miss Bronia Elisabeth Hartley,1
Miss Clare Doherty,1
Mrs Gaynor Kynaston,1
Ms Judith Vanessa Leach,1
Miss Laura Nash,1
Ms Jan Alam,1
Ms Hannah Hinton,1
Mr Craig Smith,1
Miss Luisa Maria Nicholson,1
Miss Michelle Haste,1
Miss Naomi McLoughlin,1
Ms Fleur Hallett,1
Miss Neena Sharma,1
Miss Sunyana Sharma,1
Miss Thea Wilson,1
Mr Andrew M Bradley,1
Mr Christopher Leach,1
Alison Owen,1
